"9781465456335","9781465456335","EAN_13","1494168647150","May 7, 2017 10:50:47 AM","Google The Lego Batman Movie [Dorling Kindersley Publishing Staff] [64pp.]"
"9780590421447","9780590421447","EAN_13","1494168607244","May 7, 2017 10:50:07 AM","Google Alexander and the Terrible, Horrible, No Good, Very Bad Day [Judith Viorst] [28pp.]"
"9781465456335","9781465456335","EAN_13","1494168458881","May 7, 2017 10:47:38 AM","Google The Lego Batman Movie [Dorling Kindersley Publishing Staff] [64pp.]"
"9781465456335","9781465456335","EAN_13","1494168433163","May 7, 2017 10:47:13 AM","Google The Lego Batman Movie [Dorling Kindersley Publishing Staff] [64pp.]"
"9781465456335","9781465456335","EAN_13","1494168402620","May 7, 2017 10:46:42 AM","Google The Lego Batman Movie [Dorling Kindersley Publishing Staff] [64pp.]"
"9781465456335","9781465456335","EAN_13","1494167650881","May 7, 2017 10:34:10 AM","Google The Lego Batman Movie [Dorling Kindersley Publishing Staff] [64pp.]"
"9780553497328","9780553497328","EAN_13","1494167413046","May 7, 2017 10:30:13 AM",""
"9780545493017","9780545493017","EAN_13","1494167392846","May 7, 2017 10:29:52 AM",""
"9780545493017","9780545493017","EAN_13","1494167350131","May 7, 2017 10:29:10 AM",""
"9780590421447","9780590421447","EAN_13","1494167325841","May 7, 2017 10:28:45 AM","Google Alexander and the Terrible, Horrible, No Good, Very Bad Day [Judith Viorst] [28pp.]"
"9781465456335","9781465456335","EAN_13","1494167168034","May 7, 2017 10:26:08 AM","Google The Lego Batman Movie [Dorling Kindersley Publishing Staff] [64pp.]"
"9781465456335","9781465456335","EAN_13","1494166820387","May 7, 2017 10:20:20 AM","Google The Lego Batman Movie [Dorling Kindersley Publishing Staff] [64pp.]"
"9781465456335","9781465456335","EAN_13","1494166710366","May 7, 2017 10:18:30 AM","Google The Lego Batman Movie [Dorling Kindersley Publishing Staff] [64pp.]"
"9781465456335","9781465456335","EAN_13","1494166059323","May 7, 2017 10:07:39 AM","Google The Lego Batman Movie [Dorling Kindersley Publishing Staff] [64pp.]"
